fname,wer,cer,ke_all,ke_fix,ke_sac,ke_pso,ks_all,ks_fix,ks_sac,ks_pso
UH47_img_Europe_labelled_MN,0.064103,0.067635,0.962278,0.962224,0.882035,0.906743,0.790075,0.836526,0.538741,0.742703
UL23_img_Europe_labelled_MN,0.010753,0.032517,1.000000,0.969121,1.000000,0.984114,0.913117,0.920632,0.841681,0.895162
UH27_img_vy_labelled_RA,0.022727,0.020812,1.000000,1.000000,0.934267,0.966654,0.941426,0.942221,0.859902,0.923682
TH34_img_vy_labelled_RA,0.117647,0.009266,1.000000,1.000000,0.377778,0.634615,0.880014,0.836486,0.618362,0.822493
TH34_img_Europe_labelled_MN,0.025316,0.019782,0.962963,1.000000,0.890365,0.927598,0.929967,0.954681,0.761562,0.911691
UH47_img_Europe_labelled_RA,0.100000,0.069138,0.894899,0.894510,0.652586,0.750594,0.783106,0.778764,0.478715,0.718993
UL43_img_Rome_labelled_MN,0.068182,0.039013,1.000000,1.000000,0.798432,0.906869,0.878994,0.935761,0.663635,0.865355
TL20_img_konijntjes_labelled_MN,0.078947,0.030974,0.935551,0.935282,0.636364,0.810656,0.893876,0.861778,0.724949,0.854186
UL47_img_konijntjes_labelled_MN,0.084337,0.078275,1.000000,1.000000,0.748582,0.844923,0.794795,0.832353,0.515732,0.737723
TL44_img_konijntjes_labelled_RA,0.108696,0.018487,1.000000,1.000000,0.709677,0.858333,0.928828,0.959328,0.750456,0.915621
TL20_img_konijntjes_labelled_RA,0.159420,0.027062,0.869099,0.901454,0.706294,0.754386,0.896945,0.903499,0.728927,0.874966
UH21_img_Rome_labelled_RA,0.010753,0.029677,1.000000,0.937439,0.906067,0.893249,0.917465,0.916240,0.785106,0.887978
UL23_img_Europe_labelled_RA,0.011111,0.022639,1.000000,1.000000,0.968134,0.983604,0.939186,0.961609,0.896679,0.932699
UH29_img_Europe_labelled_MN,0.095238,0.030364,1.000000,1.000000,0.684848,0.871424,0.911235,0.937831,0.663878,0.890114
TL48_img_Europe_labelled_RA,0.166667,0.041518,1.000000,1.000000,0.298755,0.785224,0.892250,0.890990,0.552647,0.859012
TL28_img_konijntjes_labelled_MN,0.123711,0.070524,0.971837,0.943561,0.509091,0.804357,0.821945,0.857970,0.565378,0.777936
UL43_img_Rome_labelled_RA,0.044444,0.031370,1.000000,1.000000,0.867679,0.937271,0.900632,0.948589,0.746442,0.891978
TH34_img_vy_labelled_MN,0.187500,0.006016,0.867257,0.864865,0.769231,0.772908,0.898073,0.875533,0.692382,0.866446
UH33_img_vy_labelled_RA,0.084337,0.029643,0.967742,0.968230,0.666667,0.834096,0.903173,0.927615,0.739440,0.885574
UH27_img_vy_labelled_MN,0.034884,0.023060,1.000000,1.000000,0.898100,0.950252,0.931243,0.925977,0.812549,0.904484
UH21_img_Rome_labelled_MN,0.020833,0.029477,0.969238,0.969209,0.937439,0.895855,0.918776,0.910927,0.777600,0.886262
TH50_img_vy_labelled_RA,0.083333,0.022765,0.937561,0.937316,0.752741,0.828996,0.920293,0.928360,0.836052,0.906946
UL31_img_konijntjes_labelled_RA,0.014286,0.028940,1.000000,0.959217,1.000000,0.978831,0.929158,0.884683,0.855429,0.897570
TH34_img_Europe_labelled_RA,0.083333,0.025985,0.961538,1.000000,0.732130,0.868440,0.921836,0.930974,0.657402,0.885353
UH29_img_Europe_labelled_RA,0.108696,0.029567,1.000000,1.000000,0.665227,0.849718,0.908504,0.950262,0.689791,0.892145
UH33_img_vy_labelled_MN,0.108434,0.034089,1.000000,1.000000,0.643293,0.850172,0.879328,0.930109,0.649001,0.861870
UL39_img_konijntjes_labelled_RA,0.125000,0.040631,0.909278,0.908524,0.850356,0.838301,0.916353,0.859385,0.759029,0.866088
UL31_img_konijntjes_labelled_MN,0.072464,0.038016,0.962062,0.884532,0.958678,0.901070,0.894022,0.847843,0.779206,0.851247
UL47_img_konijntjes_labelled_RA,0.097561,0.085699,0.929889,1.000000,0.715356,0.845966,0.780025,0.867799,0.483643,0.732853
TL28_img_konijntjes_labelled_RA,0.180723,0.060347,0.970129,0.969238,0.337905,0.718145,0.832406,0.900084,0.505452,0.802352
TH46_img_Rome_labelled_RA,0.034483,0.020453,0.968262,0.968230,0.963600,0.950694,0.928416,0.940514,0.857266,0.916175
TL48_img_Rome_labelled_RA,0.103448,0.034860,0.943606,0.972222,0.673736,0.845904,0.904652,0.897400,0.723013,0.876857
UL39_img_konijntjes_labelled_MN,0.120690,0.043087,0.955577,0.912548,0.805869,0.843137,0.867755,0.894410,0.736387,0.850088
TH38_img_Europe_labelled_RA,0.135802,0.038149,1.000000,1.000000,0.412651,0.773130,0.877067,0.932275,0.516823,0.860591
